id,uwi,long,lat,lease,operator,fake_number
42000000000001,42000000000001,-95.4887397,31.6281865,HUDDLESTON,BROWNING LANDON,77
42000000000002,42000000000002,-95.4656533,31.7877842,LASITER J,ROCK BOTTOM OIL GP LLC,22
42000000000003,42000000000003,-95.5127863,31.6241696,DOE-CO,WILSON DON H INCORPORATED,70
42000000000004,42000000000004,-95.5451583,32.0616778,FAIRWAY JAMES LIME UNIT,VANGUARD OPERATING LLC,78
42000000000005,42000000000005,-95.5449278,32.0552056,FAIRWAY JAMES LIME UNIT,VANGUARD OPERATING LLC,11
42000000000006,42000000000006,-95.2887508,31.5923743,TEMPLE-INLAND,WEATHERLY OIL & GAS COMPANY LLC,41
42000000000007,42000000000007,-95.558025,32.0638833,FAIRWAY JAMES LIME UNIT,VANGUARD OPERATING LLC,73
42000000000008,42000000000008,-95.304299,31.59247,SPELLINGS GAS UNIT,WEATHERLY OIL & GAS COMPANY LLC,49
42000000000009,42000000000009,-95.5973621,31.9691826,HERRINGTON,JAMEX INCORPORATED,61
42000000000010,42000000000010,-95.53852,31.58636,LASSITER W H,CHESTNUT EXPLORATION & PROD INC,45
42000000000011,42000000000011,-95.7523833,31.9526028,HEMBY FAMILY TRUST,TRI-C RESOURCES LLC,94
42000000000012,42000000000012,-95.52539,31.59316,BEELER,CHESTNUT EXPLORATION & PROD INC,20
42000000000013,42000000000013,-95.786475,32.0368861,NEWLAND JA,OBENCO INCORPORATED,21
42000000000014,42000000000014,-95.6880306,32.0053306,SUPERIOR UNIT,OBENCO INCORPORATED,15
42000000000015,42000000000015,-95.7483889,32.00085,WOLF CREEK UNIT,OBENCO INCORPORATED,80
42000000000016,42000000000016,-95.7484361,32.0009083,GLAD OAKS UNIT,OBENCO INCORPORATED,59
42000000000017,42000000000017,-102.5549079,32.2059605,UNIVERSITY 9 AB,XTO ENERGY INCORPORATED,59
42000000000018,42000000000018,-102.5549079,32.2059605,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,86
42000000000019,42000000000019,-102.55255,32.1986361,UNIVERSITY `9` AA,XTO ENERGY INCORPORATED,29
42000000000020,42000000000020,-102.55255,32.1986361,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,8
42000000000021,42000000000021,-102.7273728,32.4034428,UNIVERSITY YZ,OXY USA WTP LP,26
42000000000022,42000000000022,-102.4646361,32.2256306,UNIVERSITY `F`,ELEVATION RESOURCES LLC,32
42000000000023,42000000000023,-102.5767986,32.1927862,STATE UNIVERSITY AU,XTO ENERGY INCORPORATED,64
42000000000024,42000000000024,-102.58585,32.1911944,STATE UNIVERSITY AT,XTO ENERGY INCORPORATED,77
42000000000025,42000000000025,-102.6034416,32.3386022,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,90
42000000000026,42000000000026,-102.773121,32.4603065,FULLERTON CLEARFORK UNIT,XTO ENERGY INCORPORATED,36
42000000000027,42000000000027,-102.5677592,32.2092551,UNIVERSITY `9-A`,XTO ENERGY INCORPORATED,16
42000000000028,42000000000028,-102.5677592,32.2092551,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,45
42000000000029,42000000000029,-102.5745,32.20176,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,88
42000000000030,42000000000030,-102.5780389,32.1964139,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,91
42000000000031,42000000000031,-102.5740996,32.1862512,UNIVERSITY 9 D,XTO ENERGY INCORPORATED,95
42000000000032,42000000000032,-102.5689153,32.3957719,WEST MEANS (GRAYBURG-SAN ANDRES) UNIT,THOMPSON J CLEO,91
42000000000033,42000000000033,-102.5594821,32.2074152,TEXAS L,XTO ENERGY INCORPORATED,31
42000000000034,42000000000034,-102.5669908,32.1956236,UNIVERSITY BLOCK 9 WOLFCAMP UNIT,XTO ENERGY INCORPORATED,74
42000000000035,42000000000035,-102.5848097,32.2057456,TEXAS `Q`,XTO ENERGY INCORPORATED,77
42000000000036,42000000000036,-102.3834269,32.1425312,MIDLAND FARMS UNIT,OCCIDENTAL PERMIAN LIMITED,48
